vader_running_avg	Close_running_avg
0.241981094	240.5199982
0.210600736	240.5039978
0.238926929	242.1859985
0.23008922	244.1179993
0.199401046	246.5859985
0.20616592	250.6279999
0.233805417	252.1980011
0.210616446	252.8880005
0.206862508	252.6959991
0.24113783	253.6019958
0.263407556	254.4459961
0.255985325	255.6539948
0.205004163	254.4499939
0.187117306	253.6259949
0.11498512	249.9939972
0.070838785	245.2919952
0.046222082	242.1539978
0.066104493	240.547998
0.036498695	237.8559998
0.075415415	236.9540009
0.058145839	234.8120026
0.028323858	231.0920013
-0.001804502	226.9840027
-0.022011861	223.102002
-0.060490212	218.6900024
-0.067398537	215.6840027
-0.062042399	213.6660034
-0.054058048	211.5120026
-0.033686777	209.9680023
-0.039297866	204.1180023
-0.053826456	198.3300018
-0.027025039	194.7559998
